Hovedkategori,Aktivitetskode,MET-værdi,Aktivitetsbeskrivelse (Dansk)
Kondition og styrketræning,2004,7.8,"Step-holdtræning, generelt"
Kondition og styrketræning,2005,4.8,"Aerobic-dans, low impact, moderat indsats"
Kondition og styrketræning,2006,8,"Aerobic-dans, high impact, hård indsats"
Kondition og styrketræning,2007,10,"Aerobic-dans med 4,5-7 kg vægte"
Kondition og styrketræning,2008,5,"Militær forhindringsbane, boot camp-træningsprogram"
Kondition og styrketræning,2020,7.5,"Kropsvægtstræning (f.eks. armbøjninger, mavebøjninger, kropshævninger, englehop, burpees, battle ropes), hård indsats"
Kondition og styrketræning,2022,3.8,"Kropsvægtstræning (f.eks. armbøjninger, mavebøjninger, kropshævninger, lunges), moderat indsats"
Kondition og styrketræning,2024,2.8,"Kropsvægtstræning (f.eks. maveøvelser, planken), let indsats"
Kondition og styrketræning,2030,3.5,"Kropsvægtstræning, let eller moderat indsats, generelt (f.eks. rygøvelser), op og ned fra gulvet (Taylor-kode 150)"
Kondition og styrketræning,2032,6,"Cirkeltræning, kropsvægtsøvelser"
Kondition og styrketræning,2034,3.5,"Cirkeltræning, let indsats"
Kondition og styrketræning,2035,5,"Cirkeltræning, moderat indsats"
Kondition og styrketræning,2040,7.5,"Cirkeltræning (inkl. kettlebells, lidt aerob bevægelse med minimal hvile), generelt, høj intensitet"
Kondition og styrketræning,2045,3.5,Curves™ træningsrutiner for kvinder
Kondition og styrketræning,2048,5,"Crosstrainer (elliptisk maskine), moderat indsats"
Kondition og styrketræning,2049,9,"Crosstrainer (elliptisk maskine), hård indsats"
Kondition og styrketræning,2052,5,"Styrke- / vægttræning, squats, dødløft, langsom eller eksplosiv indsats"
Kondition og styrketræning,2054,3.5,"Styrke- / vægttræning, flere øvelser, 8-15 gentagelser ved varieret modstand"
Kondition og styrketræning,2055,5.8,"Styrketræning, cirkeltræning, supersets, PHA-træning"
Kondition og styrketræning,2056,3,"Kropsvægtstræning (f.eks. squat, lunge, armbøjning, mavebøjning), generelt"
Kondition og styrketræning,2057,6.5,"Kropsvægtstræning (f.eks. squat, lunge, armbøjning, mavebøjning), høj intensitet"
Kondition og styrketræning,2058,9.8,Kettlebell swings
Kondition og styrketræning,2060,5.5,"Træningscenter (fitness), generelt (Taylor-kode 160)"
Kondition og styrketræning,2061,5,"Holdtræning i fitnesscenter generelt, kondition og vægttræning kombineret i ét besøg"
Kondition og styrketræning,2062,7.8,"Træningscenter (fitness), konditionshold"
Kondition og styrketræning,2064,3.8,"Hjemmetræning, generelt"
Kondition og styrketræning,2065,9.3,"Trappemaskine (stairmaster), generelt"
Kondition og styrketræning,2068,11,"Sjippetovstræning, generelt"
Kondition og styrketræning,2069,9,"Sjippetov, Digi-Jump maskine, 120 hop/minut"
Kondition og styrketræning,2070,7.3,"Roning, romaskine, generelt, hård indsats"
Kondition og styrketræning,2071,5,"Roning, romaskine, generelt, <100 watt, moderat indsats"
Kondition og styrketræning,2072,7.5,"Roning, romaskine, 100 til 149 watt, hård indsats"
Kondition og styrketræning,2073,11,"Roning, romaskine, 150 til 199 watt, hård indsats"
Kondition og styrketræning,2074,14,"Roning, romaskine, ≥ 200 watt, meget hård indsats"
Kondition og styrketræning,2078,11,Shuttle run (løb frem/tilbage/sidelæns)
Kondition og styrketræning,2080,6.8,"Skimaskine, generelt"
Kondition og styrketræning,2082,10.5,"Skiergometer (stager), langrend, dobbelt stavtag, langsom til moderat hastighed"
Kondition og styrketræning,2084,18,"Skiergometer (stager), langrend, dobbelt stavtag, hurtig til maksimal hastighed"
Kondition og styrketræning,2085,10.5,"Slide board-træning, generelt"
Kondition og styrketræning,2090,6,"Slimnastics, jazzercise"
Kondition og styrketræning,2101,2.3,"Udstrækning, let"
Kondition og styrketræning,2103,1.8,"Pilates, traditionel, på måtte"
Kondition og styrketræning,2105,2.8,"Pilates, generelt"
Kondition og styrketræning,2107,8.5,Pound (kombination af pilates og kropsbevægelser med trommestikker)
Kondition og styrketræning,2108,4.5,Pole dancing (holdtræning)
Kondition og styrketræning,2110,6.8,"Undervise i holdtræning (f.eks. aerobic, vandgymnastik)"
Kondition og styrketræning,2112,2.8,"Træningsbold (Fitball), træning"
Kondition og styrketræning,2114,9.5,"Træningsbold (Fitball), træning, høj intensitet"
Kondition og styrketræning,2115,2.8,"Overkropstræning, armcykel, generelt, let"
Kondition og styrketræning,2116,2,"Armcykel, 15W"
Kondition og styrketræning,2117,2.8,"Armcykel, 25-30W"
Kondition og styrketræning,2118,3.5,"Armcykel, 45W"
Kondition og styrketræning,2119,4.3,"Overkropstræning, motionscykel med arme (Airdyne, kun arme) 40 omdr/min, moderat intensitet"
Kondition og styrketræning,2120,5.3,"Vandaerobic, vandgymnastik, træning i vand"
Kondition og styrketræning,2135,1.3,"Spabad, siddende"
Kondition og styrketræning,2140,2.5,"Videotræning, tv-programmer (f.eks. yoga, udstrækning, siddende), let indsats"
Kondition og styrketræning,2143,4,"Videotræning, tv-programmer (f.eks. cardio-styrketræning), moderat indsats"
Kondition og styrketræning,2145,6,"Videotræning, tv-programmer (f.eks. cardio-styrketræning), hård indsats"
Kondition og styrketræning,2150,2.3,"Yoga, Hatha"
Kondition og styrketræning,2153,8,"Yoga, Hatha, høj intensitet"
Kondition og styrketræning,2155,3,"Yoga, Hot yoga"
Kondition og styrketræning,2160,4,"Yoga, Power yoga"
Kondition og styrketræning,2170,2,"Yoga, Nadi Shodhana (åndedrætsøvelser)"
Kondition og styrketræning,2175,2.3,"Yoga, Generelt"
Kondition og styrketræning,2180,3.5,"Yoga, Surya Namaskar (Solhilsen)"
Kondition og styrketræning,2185,2.7,"Yoga, Vinyasa"
Kondition og styrketræning,2200,5.3,"Newzealandsk indfødt aktivitet (f.eks. Haka, Poi), generelt moderat indsats"
Kondition og styrketræning,2205,6.8,"Newzealandsk indfødt aktivitet, generelt, hård indsats"
Kondition og styrketræning,2210,7,"Højintensiv intervaltræning, moderat indsats"
Kondition og styrketræning,2214,11,"Højintensiv intervaltræning, burpees, mountain climbers, squat jumps, Tabata, hård indsats"
Kondition og styrketræning,2225,2.3,"Balance Exercise Assist Robot (BEAR), simuleret skiløb, tennis, rodeo"
Kondition og styrketræning,2230,5.8,Hulahopring
Kondition og styrketræning,2240,9,"Impulse Training System, inertitræningsmaskine"
Kondition og styrketræning,2280,7.9,"Virtual Reality Fitness (Supernatural™ Flow, boksning), høj intensitet"
Kondition og styrketræning,2284,9.3,"ExerCube, træningsserie"
Kondition og styrketræning,2288,13,"Blackbox virtual reality træningssystem, høj intensitet"
Kondition og styrketræning,2300,3,"Stavtræning, Life-Build-Line"
Kondition og styrketræning,2310,6.5,"Zumba, holdtræning"
Kondition og styrketræning,2315,5.5,"Zumba, hjemmevideo"
Kondition og styrketræning,2340,2.8,"Rejse-sætte-sig-øvelse, 6-12 gange/min"
Kondition og styrketræning,2344,4,"Rejse-sætte-sig-øvelse, 18-24 gange/min"
Dans,3005,6,"Afrocubansk salsa (cubansk cha-cha-cha, mambo, afro-rumba osv.)"
Dans,3010,5,"Ballet, moderne dans eller jazzdans, generelt, prøve eller undervisning"
Dans,3011,6.3,"Balletøvelser (plié, tendu, jeté, rond de jambe osv.)"
Dans,3012,6.8,"Ballet, moderne dans eller jazzdans, forestilling, hård indsats"
Dans,3014,4.8,Stepdans
Dans,3025,4.5,"Etnisk eller kulturel dans (f.eks. græsk, mellemøstlig, mavedans, flamenco, swing)"
Dans,3028,5.5,"Kinesisk square dance, ballet & tibetansk dans"
Dans,3029,7.3,"Kinesisk square dance, aerobic"
Dans,3030,5.5,"Selskabsdans, hurtig (Taylor-kode 125)"
Dans,3031,9.8,"Natklub- eller folkedans, hård indsats (f.eks. disco, linedance, irsk step, polka)"
Dans,3033,5,"Folkedans, moderat indsats"
Dans,3038,11.3,"Selskabsdans, konkurrence, generelt"
Dans,3040,3,"Selskabsdans, langsom (f.eks. vals, foxtrot, samba, tango, rumba, cha-cha-cha)"
Dans,3042,6,"Selskabsdans, fritid (vals, foxtrot, cha-cha-cha, swing)"
Dans,3050,5.5,"Traditionel indiansk dans (f.eks. Jingle dance), rask tempo, moderat indsats"
Dans,3070,3.8,"Contemporary (moderne) dans, generelt"
Dans,3072,4.3,"Contemporary (moderne) dans, natklub"
Dans,3075,8.5,Flamencodans
Dans,3078,4.5,"Jazzdans, generelt"
Dans,3080,10.3,"Musicalteater, sang og dans"
Dans,3085,5.8,"Polynesisk dans, hawaiiansk hula (langsom), maori haka, tongansk"
Dans,3086,7,"Polynesisk dans, hawaiiansk hula (hurtig), samoansk sasa, filippinsk tinikling"
Dans,3087,8.8,"Polynesisk dans, samoansk slap dance, tahitiansk"
Dans,3090,4.8,"Salsadans, med partner"
Dans,3091,6.3,"Salsadans, til en video"
Dans,3093,5.5,"Square dance, country/western"
Fiskeri og jagt,4001,3.5,"Fiskeri, generelt"
Fiskeri og jagt,4005,4.5,Krabbe-fiskeri
Fiskeri og jagt,4007,4,"Fiskeri, fange fisk med hænderne"
Fiskeri og jagt,4010,4.3,"Fiskerelateret, grave orm med skovl"
Fiskeri og jagt,4020,4,Fiskeri fra flodbred og gående
Fiskeri og jagt,4030,2,"Fiskeri fra båd eller kano, siddende"
Fiskeri og jagt,4040,3.5,"Fiskeri fra flodbred, stående (Taylor-kode 660)"
Fiskeri og jagt,4050,6,"Fiskeri i å/vandløb, iført waders (Taylor-kode 670)"
Fiskeri og jagt,4060,2,"Isfiskeri, siddende"
Fiskeri og jagt,4061,1.8,"Fiskeri med pirk eller snøre, stående, generelt"
Fiskeri og jagt,4062,3.5,"Fiskeri med sænkenet, sætte net og fange fisk, generelt"
Fiskeri og jagt,4063,3.8,"Fiskeri med garn, sætte garn og fange fisk, generelt"
Fiskeri og jagt,4064,3,"Fiskeri med fiskehjul, sætte net og fange fisk, generelt"
Fiskeri og jagt,4065,2.3,"Fiskeri med spyd, stående"
Fiskeri og jagt,4070,2.5,"Jagt, bue og pil eller armbrøst"
Fiskeri og jagt,4080,6,"Jagt, hjort, elg, storvildt (Taylor-kode 170)"
Fiskeri og jagt,4081,9.8,"Jagt på storvildt, trække byttet"
Fiskeri og jagt,4083,4,Jagt på store havdyr
Fiskeri og jagt,4085,2.5,"Jagt, storvildt fra skydetårn, begrænset gang"
Fiskeri og jagt,4086,2,"Jagt på storvildt fra bil, fly eller båd"
Fiskeri og jagt,4090,2.5,"Andejagt, vadende"
Fiskeri og jagt,4095,3,"Jagt på flyvehunde, egern"
Fiskeri og jagt,4100,5,"Jagt, generelt"
Fiskeri og jagt,4110,6,"Jagt, fasaner eller ryper (Taylor-kode 680)"
Fiskeri og jagt,4115,3.3,Fuglejagt
Fiskeri og jagt,4120,5,"Jagt, kanin, egern, vaskebjørn, småvildt (Taylor-kode 690)"
Fiskeri og jagt,4123,3.3,Vildsvinejagt
Fiskeri og jagt,4124,2,"Fældefangst, generelt"
Fiskeri og jagt,4125,9.5,Jagt - vandring med jagtudstyr
Fiskeri og jagt,4130,2.5,"Pistolskydning eller flugtskydning, stående"
Fiskeri og jagt,4140,2.3,"Riffelskydning, liggende"
Fiskeri og jagt,4145,2.5,"Riffelskydning, knælende eller stående"
Fiskeri og jagt,4150,2.8,"Sankning, 0-10 kg rygsæk"
Fiskeri og jagt,4152,3,"Sankning, 10-15 kg rygsæk"
Fiskeri og jagt,4160,1,"Sidde i båd, passager"
Fiskeri og jagt,4164,1.5,Stå i båd
Fiskeri og jagt,4168,3.3,"Aktiviteter i en båd, løfte, sænke"
Husholdningsaktiviteter,5010,3.3,"Rengøring, støvsugning eller fejning af gulv, generelt"
Husholdningsaktiviteter,5011,2.3,"Rengøring, fejning, langsomt, let indsats"
Husholdningsaktiviteter,5012,3.8,"Rengøring, fejning, hurtigt, moderat indsats"
Husholdningsaktiviteter,5020,3.5,"Rengøring, tung eller stor (f.eks. bilvask, rengøring af garage), moderat indsats"
Husholdningsaktiviteter,5021,3.5,"Rengøring, gulvvask, stående, moderat indsats"
Husholdningsaktiviteter,5022,3.3,"Vinduespudsning, generelt"
Husholdningsaktiviteter,5023,2.5,"Gulvvask, stående, let indsats"
Husholdningsaktiviteter,5024,4.5,"Gulvpolering, stående, gå langsomt, med elektrisk polermaskine"
Husholdningsaktiviteter,5025,2.8,"Flere husholdningsopgaver på én gang, let indsats"
Husholdningsaktiviteter,5026,3.3,"Flere husholdningsopgaver på én gang, moderat indsats"
Husholdningsaktiviteter,5027,4.3,"Flere husholdningsopgaver på én gang, hård indsats"
Husholdningsaktiviteter,5030,3.3,"Rengøring af hus eller hytte, generelt, moderat indsats"
Husholdningsaktiviteter,5032,2.5,"Aftørring af støv eller polering af møbler, generelt"
Husholdningsaktiviteter,5035,3.3,"Køkkenaktivitet, generelt (f.eks. madlavning, opvask, oprydning), moderat indsats"
Husholdningsaktiviteter,5040,2.5,"Rengøring, generelt (oprydning, skift af sengetøj, gå ud med skrald), let indsats"
Husholdningsaktiviteter,5041,2,"Opvask, stående eller generelt"
Husholdningsaktiviteter,5042,2,"Opvask, rydde bordet, gående, let indsats"
Husholdningsaktiviteter,5043,3,"Støvsugning, generelt, moderat indsats"
Husholdningsaktiviteter,5044,3,Slagtning af små dyr
Husholdningsaktiviteter,5045,6,"Slagtning af store dyr, hård indsats"
Husholdningsaktiviteter,5046,2.3,"Skære og ryge fisk, tørre fisk eller kød"
Husholdningsaktiviteter,5048,4,"Garvning af skind, generelt"
Husholdningsaktiviteter,5049,3.5,"Madlavning eller forberedelse af mad, moderat indsats"
Husholdningsaktiviteter,5051,2.3,"Madlavning eller forberedelse af mad, gående"
Husholdningsaktiviteter,5052,2.3,"Servere mad, dække/rydde bordet, gående eller stående"
Husholdningsaktiviteter,5053,2.5,Fodre husdyr
Husholdningsaktiviteter,5054,3.5,"Bære indkøb, på plant underlag, gående"
Husholdningsaktiviteter,5055,2.5,Sætte indkøb på plads (f.eks. bære poser/pakker)
Husholdningsaktiviteter,5056,5.3,Bære indkøb ovenpå
Husholdningsaktiviteter,5057,3,Bage indisk brød eller lave anden mad på udendørs komfur
Husholdningsaktiviteter,5060,3.3,Indkøb af mad med eller uden indkøbsvogn; bære 4-5 kg pose; stående eller gående
Husholdningsaktiviteter,5065,2.3,"Indkøb af non-food, med eller uden vogn, stående eller gående"
Husholdningsaktiviteter,5070,1.8,Strygning
Husholdningsaktiviteter,5080,1.3,"Strikke, sy, let indsats, pakke gaver ind, siddende"
Husholdningsaktiviteter,5082,2.8,Sy på symaskine
Husholdningsaktiviteter,5091,2,"Tøjvask, folde eller hænge tøj op, siddende"
Husholdningsaktiviteter,5092,4,"Tøjvask, moderat indsats"
Husholdningsaktiviteter,5095,2,"Tøjvask, lægge tøj på plads, samle tøj til pakning, gående"
Husholdningsaktiviteter,5100,3,"Rede seng, skifte sengetøj"
Husholdningsaktiviteter,5110,5,Aftapning af ahornsirup (inkl. bære spande og brænde)
Husholdningsaktiviteter,5120,5.8,"Flytte møbler, husholdningsartikler, bære flyttekasser"
Husholdningsaktiviteter,5121,5,"Flytning, løft af lette byrder"
Husholdningsaktiviteter,5125,4.8,Oprydning af et rum
Husholdningsaktiviteter,5130,3.5,"Skure gulv, på alle fire, skure badeværelse/badekar, moderat indsats"
Husholdningsaktiviteter,5131,2,"Skure gulv, på alle fire, skure badeværelse/badekar, let indsats"
Husholdningsaktiviteter,5132,6.5,"Skure gulv, på alle fire, skure badeværelse/badekar, hård indsats"
Husholdningsaktiviteter,5140,3,"Feje garage, fortov eller udendørsarealer"
Husholdningsaktiviteter,5147,3,"Gående, sætte husholdningsartikler på plads, moderat indsats"
Husholdningsaktiviteter,5148,2,Vande planter
Husholdningsaktiviteter,5149,2.5,Tænde op i pejsen indendørs
Husholdningsaktiviteter,5150,9,"Bære husholdningsartikler ovenpå, bære kasser eller møbler"
Husholdningsaktiviteter,5160,2,"Stående, lette opgaver (pumpe benzin, skifte pære, osv.)"
Husholdningsaktiviteter,5165,3.5,"Gående, moderate opgaver, ikke-rengøring (gøre klar til at tage hjemmefra, låse døre osv.)"
Husholdningsaktiviteter,5170,2.3,"Sidde og lege med barn/børn, let indsats, kun aktive perioder"
Husholdningsaktiviteter,5171,2.8,"Stå og lege med barn/børn, let indsats, kun aktive perioder"
Husholdningsaktiviteter,5175,3.5,"Gå/løbe, lege med barn/børn, moderat indsats, kun aktive perioder"
Husholdningsaktiviteter,5180,5.8,"Gå/løbe, lege med barn/børn, hård indsats, kun aktive perioder"
Husholdningsaktiviteter,5181,3,Gå og bære lille barn (over 7 kg)
Husholdningsaktiviteter,5182,2.5,Gå og bære lille barn (under 7 kg)
Husholdningsaktiviteter,5183,2,"Stående, holde barn"
Husholdningsaktiviteter,5184,2.5,"Børnepasning, spædbarn, generelt"
Husholdningsaktiviteter,5185,2,"Børnepasning: siddende eller knælende, påklædning, badning, madning, lette løft af barn, generelt"
Husholdningsaktiviteter,5186,3.5,"Børnepasning: stående, påklædning, badning, madning, lette løft af barn"
Husholdningsaktiviteter,5188,1.5,Ligge ned med baby
Husholdningsaktiviteter,5189,2,"Amning, siddende eller liggende"
Husholdningsaktiviteter,5190,2.5,"Sidde og lege med dyr, let indsats, kun aktive perioder"
Husholdningsaktiviteter,5191,2.8,"Stå og lege med dyr, let indsats, kun aktive perioder"
Husholdningsaktiviteter,5192,2.8,"Gå eller løbe, lege med dyr, generelt, let indsats, kun aktive perioder"
Husholdningsaktiviteter,5193,4,"Gå/løbe, lege med dyr, moderat indsats, kun aktive perioder"
Husholdningsaktiviteter,5194,5,"Gå/løbe, lege med dyr, hård indsats, kun aktive perioder"
Husholdningsaktiviteter,5195,3.5,"Stående, bade hund"
Husholdningsaktiviteter,5197,2.3,"Dyrepleje, husdyr, generelt"
Husholdningsaktiviteter,5200,3,"Ældrepleje, handikappet voksen, badning, påklædning, hjælp ind/ud af sengen, kun aktive perioder"
Husholdningsaktiviteter,5205,1.8,"Ældrepleje, handikappet voksen, madning, rede hår, let indsats, kun aktive perioder"
Husholdningsaktiviteter,5300,1.3,Håndvask
Boligreparation og vedligeholdelse,6010,3,Flyreparation
Boligreparation og vedligeholdelse,6020,4,Karosseriarbejde
Boligreparation og vedligeholdelse,6030,3.3,"Bilreparation, let eller moderat indsats"
Boligreparation og vedligeholdelse,6040,3,"Tømrerarbejde, generelt, værksted (Taylor-kode 620)"
Boligreparation og vedligeholdelse,6050,6,"Tømrerarbejde, udendørs (Taylor-kode 640)"
Boligreparation og vedligeholdelse,6052,3.8,"Tømrerarbejde, udendørs, bygge et hegn"
Boligreparation og vedligeholdelse,6060,3.3,"Snedkerarbejde, lakering eller renovering af skabe/møbler"
Boligreparation og vedligeholdelse,6070,6,"Tømrerarbejde, save i hårdttræ, høvle og bore, moderat til hård indsats"
Boligreparation og vedligeholdelse,6072,4,"Tømrerarbejde, renovering af hjemmet, moderat indsats"
Boligreparation og vedligeholdelse,6074,2.3,"Tømrerarbejde, renovering af hjemmet, let indsats"
Boligreparation og vedligeholdelse,6080,5,"Fugning, tætning af bjælkehytte"
Boligreparation og vedligeholdelse,6090,4.5,"Fugning, undtagen bjælkehytte"
Boligreparation og vedligeholdelse,6100,5,Rensning af tagrender
Boligreparation og vedligeholdelse,6110,5,Udgravning af garage
Boligreparation og vedligeholdelse,6120,5,Opsætning af forsatsvinduer
Boligreparation og vedligeholdelse,6122,5,Opsætning af gipsplader indendørs
Boligreparation og vedligeholdelse,6124,3,Slå søm i
Boligreparation og vedligeholdelse,6126,2.5,"Boligreparation, generelt, let indsats"
Boligreparation og vedligeholdelse,6127,4.5,"Boligreparation, generelt, moderat indsats"
Boligreparation og vedligeholdelse,6128,6,"Boligreparation, generelt, hård indsats"
Boligreparation og vedligeholdelse,6130,4.5,Lægge eller fjerne gulvtæppe
Boligreparation og vedligeholdelse,6140,3.8,Lægge klinker eller linoleum
Boligreparation og vedligeholdelse,6144,3,Reparation af hvidevarer/apparater
Boligreparation og vedligeholdelse,6150,5,"Maling, udendørs (Taylor-kode 650)"
Boligreparation og vedligeholdelse,6160,3.3,"Maling indendørs, tapetsering, skrabe maling"
Boligreparation og vedligeholdelse,6165,4.5,Maling (Taylor-kode 630)
Boligreparation og vedligeholdelse,6167,3,"VVS-arbejde, generelt"
Boligreparation og vedligeholdelse,6170,3,Pålægning og fjernelse af presenning – sejlbåd
Boligreparation og vedligeholdelse,6180,6,Tagarbejde
Boligreparation og vedligeholdelse,6190,4.5,Slibe gulv med el-sliber
Boligreparation og vedligeholdelse,6200,4.5,Skrabe og male sejlbåd eller motorbåd
Boligreparation og vedligeholdelse,6205,2,Slibning af værktøj
Boligreparation og vedligeholdelse,6210,5,Sprede jord med en skovl
Boligreparation og vedligeholdelse,6220,4.5,Vask og voksning af skrog på sejlbåd eller fly
Boligreparation og vedligeholdelse,6225,2,Bilvask og voksning
Boligreparation og vedligeholdelse,6230,4.5,"Vask af hegn, maling af hegn, moderat indsats"
Boligreparation og vedligeholdelse,6240,3.3,"Ledningsarbejde, samling af kabler"
Inaktivitet og hvile,7009,1,Ligge stille og se fjernsyn
Inaktivitet og hvile,7011,1,"Ligge stille, lave ingenting, ligge vågen i sengen, lytte til musik (uden at tale eller læse)"
Inaktivitet og hvile,7020,1,Sidde og se fjernsyn
Inaktivitet og hvile,7021,1,"Sidde stille, generelt"
Inaktivitet og hvile,7022,1.5,"Sidde stille, rastløs, generelt, pille ved ting med hænderne"
Inaktivitet og hvile,7023,1.8,"Sidde stille, vippe med fødderne"
Inaktivitet og hvile,7024,1.3,Sidde og ryge
Inaktivitet og hvile,7025,1.5,Sidde og lytte til musik (uden at tale/læse) eller se film i biografen
Inaktivitet og hvile,7026,1.3,"Sidde ved et skrivebord, hvile hovedet i hænderne"
Inaktivitet og hvile,7030,1,Sove
Inaktivitet og hvile,7040,1.3,Stå stille (f.eks. stå i kø)
Inaktivitet og hvile,7041,1.5,Stående (rastløs/småbevægelser)
Inaktivitet og hvile,7045,1.3,Stå og se fjernsyn
Inaktivitet og hvile,7050,1.5,"Ligge ned/tilbagelænet, skrive"
Inaktivitet og hvile,7060,1.3,"Ligge ned/tilbagelænet, tale eller tale i telefon"
Inaktivitet og hvile,7070,1.3,"Ligge ned/tilbagelænet, læse"
Inaktivitet og hvile,7075,1,Meditation
Have- og udendørsarbejde,8009,4.1,"Bære, læsse eller stable brænde/tømmer, let til moderat indsats"
Have- og udendørsarbejde,8010,5.5,"Bære, læsse eller stable brænde/tømmer, moderat indsats"
Have- og udendørsarbejde,8019,4.5,"Hugge/kløve brænde, moderat indsats"
Have- og udendørsarbejde,8020,6.5,"Hugge/kløve brænde, hård indsats"
Have- og udendørsarbejde,8025,3.5,"Rydde let krat, udtynde have, moderat indsats"
Have- og udendørsarbejde,8030,6.3,"Rydde jord, slæbe krat eller muld, hård indsats"
Have- og udendørsarbejde,8040,5,"Grave i sandkasse, skovle sand"
Have- og udendørsarbejde,8045,3.5,"Grave, vende jord, fylde jord på, kompostere, let til moderat indsats"
Have- og udendørsarbejde,8050,5,"Grave, vende jord, fylde jord på, kompostere (Taylor-kode 590)"
Have- og udendørsarbejde,8052,7.3,"Grave, vende jord, fylde jord på, kompostere, hård indsats"
Have- og udendørsarbejde,8055,2.8,Køre traktor
Have- og udendørsarbejde,8057,8.3,"Fælde træer, store"
Have- og udendørsarbejde,8058,5.3,"Fælde træer, små/mellemstore"
Have- og udendørsarbejde,8060,5.8,"Havearbejde med tunge maskiner, bruge motorsav, fræse jord"
Have- og udendørsarbejde,8066,2,"Havearbejde, generelt"
Have- og udendørsarbejde,8070,4,"Vandingskanaler, åbne og lukke sluser"
Have- og udendørsarbejde,8080,6.3,Lægge granitskærver eller grus
Have- og udendørsarbejde,8090,5,Lægge rullegræs
Have- og udendørsarbejde,8095,5.5,"Græsslåning, generelt, gående, moderat indsats"
Have- og udendørsarbejde,8100,2.5,"Græsslåning, havetraktor (Taylor-kode 550)"
Have- og udendørsarbejde,8110,6,"Græsslåning, håndskubber, hård indsats (Taylor-kode 570)"
Have- og udendørsarbejde,8120,5,"Græsslåning, gående, motorplæneklipper, moderat eller hård indsats"
Have- og udendørsarbejde,8125,4.5,"Græsslåning, motorplæneklipper, let eller moderat indsats (Taylor-kode 590)"
Have- og udendørsarbejde,8130,2.5,"Køre sneslynge, gående"
